1,2005,2061234,FIL 1,SINING NG PAKIKIPAGTALASTASAN,0,WP,
1,2005,2061234,HIST 1,PHILIPPINE HISTORY,0,WP,
1,2005,2061234,ICS 111,INTRODUCTION TO COMPUTER SCIENCE 1,0,WP,
1,2005,2061234,ICS 112,computer programming 1,0,WP,
1,2005,2061234,MATH 1A,COLLEGE ALGEBRA,0,WP,
1,2005,2061234,MATH 2A,PLANE AND SPHERICAL TRIGONOMETRY,0,WP,
1,2005,2061234,RELG 1,I BELIEVE,0,WP,
1,2005,2061234,P E 1,PHYSICAL FITNESS,0,WP,
2,2005,2061234,ENGL 1,COMMUNICATION ARTS I,3,81,
2,2005,2061234,FIL 1,SINING NG PAKIKIPAGTALASTASAN,3,80,
2,2005,2061234,HIST 1,PHILIPPINE HISTORY,3,88,
2,2005,2061234,ICS 111,INTRODUCTION TO COMPUTER SCIENCE 1,2,75,
2,2005,2061234,ICS 112,computer programming 1,1,76,
2,2005,2061234,MATH 1A,COLLEGE ALGEBRA,2,79,
2,2005,2061234,MATH 2A,PLANE AND SPHERICAL TRIGONOMETRY,1,81,
2,2005,2061234,RELG 1,I BELIEVE,3,83,
2,2005,2061234,P E 1,PHYSICAL FITNESS,3,80,
1,2004,2067514,FIL 1,SINING NG PAKIKIPAGTALASTASAN,3,90,
1,2004,2067514,HIST 1,PHILIPPINE HISTORY,3,89,
1,2004,2067514,ICS 111,INTRODUCTION TO COMPUTER SCIENCE 1,2,88,
1,2004,2067514,ICS 112,computer programming 1,1,88,
1,2004,2067514,MATH 1A,COLLEGE ALGEBRA,2,86,
1,2004,2067514,MATH 2A,PLANE AND SPHERICAL TRIGONOMETRY,1,85,
1,2004,2067514,RELG 1,I BELIEVE,3,84,
1,2004,2067514,P E 1,PHYSICAL FITNESS,3,83,
2,2004,2067514,ENGL 2,COMMUNICATION ARTS 2,3,87,
2,2004,2067514,FIL 2,PAGBASA AT PAGSULAT SA IBAT IBANG DISIPLINA,3,85,
2,2004,2067514,HIST 2,LIFE AND WORKS OF JOSE RIZAL,3,80,
2,2004,2067514,ICS 121,INTRODUCTION TO COMPUTER SCIENCE 2,2,77,
2,2004,2067514,ICS 122,computer programming 2,1,77,
2,2004,2067514,MATH 3B,ANALYTIC GEOMETRY,2,75,
2,2004,2067514,RELG 2,BELIEVING INTO DISCIPLESHIP,1,75,
2,2004,2067514,P E 2,RHYTHMIC ACTIVITIES,3,75,
1,2005,2067514,RELG 3,DISCIPLESHIP IN COMMUNITY,3,89,
1,2005,2067514,ENGL 4,PUBLIC SPEAKING AND ARGUMENTATION,3,88,
1,2005,2067514,PHILO 1,LOGIC,3,87,
1,2005,2067514,POLIT SC 1,POLITICS & GOVERNANCE W/ PHILIPPINE CONSTITUTION,3,86,
1,2005,2067514,ECON 1,BASIC ECONOMICS WITH TAXATION AND AGRARIAN REFORM,3,85,
